Type,Time,Error,Gradient Type
parabola_1000 1 Input 2 Sets 10000 Epochs,16.450679041999997,2414514.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 20000 Epochs,33.054991013999995,2237124.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 30000 Epochs,49.826512724000004,2075081.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 40000 Epochs,65.912386645,1946592.4,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 50000 Epochs,82.467054873,1319446.9,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 60000 Epochs,99.728797234,1177108.2,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 100000 Epochs,165.979496141,9043345.0,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 200000 Epochs,346.825319938,19684910.0,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 100000 Epochs,182.5471338,8483006.0,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 100000 Epochs,169.53995129199998,8486704.0,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 100000 Epochs,139.60909897599998,11088118.0,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 100000 Epochs,171.83759619,8486704.0,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 50 Epochs,0.23080851299999994,17659246.0,Mini-Batch Gradient Descent
parabola_1000 1 Input 2 Sets 500 Epochs,2.3506440480000004,5320376.0,Mini-Batch Gradient Descent
parabola_1000 1 Input 2 Sets 5000 Epochs,21.924465253,1044394.1,Mini-Batch Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,42.155020735,1483908.5,Mini-Batch Gradient Descent
parabola_1000 1 Input 2 Sets 100 Epochs,0.525435292,15542508.0,Batch Gradient Descent
parabola_1000 1 Input 2 Sets 100 Epochs,0.5131617259999999,15543155.0,Batch Gradient Descent
parabola_1000 1 Input 2 Sets 100 Epochs,0.48362529200000015,15543155.0,Batch Gradient Descent
parabola_1000 1 Input 2 Sets 100 Epochs,0.5511154839999999,15542508.0,Batch Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.949540886,2439842.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.134863862,2439842.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.445246088,2439842.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,20.335199205,2439842.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,32.087557901000004,1639236.4,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,32.112132828,20080132.0,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,31.842201926999998,20080132.0,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,18.285851223,20080132.0,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,18.196333788,1526664.5,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.869000988,2372357.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.830988547,1526664.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.327517015999998,2439842.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.66581566,2439842.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.201022174000002,2874816.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.015817566,3340847.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.19080739,2264995.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.433013135,2264995.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.206967959,2264995.8,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 10000 Epochs,17.24682585,1960686.4,Stochastic Gradient Descent
parabola_1000 1 Input 2 Sets 50 Epochs,0.22982156100000006,17638994.0,Mini-Batch Gradient Descent
parabola_1000 1 Input 2 Sets 100 Epochs,0.35519000999999983,15470371.0,Mini-Batch Gradient Descent
parabola_1000 1 Input 2 Sets 150 Epochs,0.4749585559999998,13489699.0,Mini-Batch Gradient Descent
parabola_1000 1 Input 2 Sets 500 Epochs,1.311519971,4987000.0,Mini-Batch Gradient Descent
parabola_1000 1 Input 2 Sets 1000 Epochs,2.603287312,1572911.1,Mini-Batch Gradient Descent
