Type,Time,Error,Gradient Type,MF Type
sinus 1 Input 10 Sets 50000 Epochs,283.664781206,8.0891635E-07,Batch Gradient Descent,two equations mf
sinus 1 Input 10 Sets 10000 Epochs,55.605003015,5.942295E-06,Batch Gradient Descent,two equations mf
1 Input 5 Sets 500 Epochs Mini-Batch,1.921125198,5.7435118E-05,Mini-Batch Gradient Descent,two equations mf
1 Input 4 Sets 1000 Epochs Batch,3.018810386,7.3888325E-05,Batch Gradient Descent,two equations mf
1 Input 5 Sets 25000 Epochs Mini-Batch,80.91809637,7.613514E-05,Mini-Batch Gradient Descent,two equations mf
1 Input 4 Sets 5000 Epochs Mini-Batch,14.430651622,9.595953E-05,Mini-Batch Gradient Descent,two equations mf
1 Input 5 Sets 1000 Epochs Batch,3.519503158,0.0001241502,Batch Gradient Descent,two equations mf
1 Input 5 Sets 5000 Epochs Mini-Batch,16.433484347,0.00014392514,Mini-Batch Gradient Descent,two equations mf
1 Input 3 Sets 5000 Epochs Mini-Batch,12.479160914,0.00017558844,Mini-Batch Gradient Descent,two equations mf
1 Input 5 Sets 5000 Epochs Batch,16.691901044,0.00019439455,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 500 Epochs ,1.433071583,0.00019993485,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 200 Epochs,0.662374144,0.00021371334,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 1000 Epochs,2.528284161,0.00021747834,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 1000 Epochs ,3.186768601,0.00022743008,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 10 Sets 50000 Epochs ,266.304404533,0.00023102477,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 250 Epochs ,0.812814455999999,0.00023668594,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 500 Epochs ,1.660380155,0.00024776589,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 1000 Epochs ,2.630359307,0.00026092606,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 200 Epochs,0.776607018,0.0002843869,Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 100 Epochs,0.585141894,0.0003327774,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 250 Epochs ,0.941490224,0.00035056792,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 100 Epochs,0.413208351,0.0004194537,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 100 Epochs,0.498050516,0.00047467268,Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 250 Epochs ,1.089740684,0.0004843186,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 50 Epochs,0.436709294,0.0033160818,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 50 Epochs,0.375220762,0.0049143583,Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 50 Epochs ,0.435664606,0.0058649997,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 50 Epochs ,0.3765455,0.0069568525,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 50 Epochs,0.300153276,0.043162756,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 50 Epochs ,0.298075008,0.0460837,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 4000 Epochs,10.88261874,0.1184726,Stochastic Gradient Descent,two equations mf
sinus 1 Input 4 Sets 10 Epochs,0.234746173,0.12300181,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 10 Epochs,0.348433566,0.13251883,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 10 Epochs,0.183020726,0.13380256,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 100000 Epochs,196.641315497,0.13913244,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 10000 Epochs,19.527086167,0.13913299,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 2000 Epochs,4.083490881,0.13913393,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 3000 Epochs,5.996028459,0.13913395,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 6000 Epochs,12.217833476,0.13913426,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1000 Epochs,2.099526972,0.13913532,Batch Gradient Descent,two equations mf
